Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params,Outliers
Train,Pedestrian Total,NA,Pandas,0.5,2414855.528,1136.276336,95%,Ridge,"{'normalize': False, 'alpha': 10}",Not Removed
Train,Pedestrian Total,Standard,Pandas,0.5,2415032.121,1136.024612,95%,Ridge,"{'normalize': False, 'alpha': 10}",Not Removed
Train,Pedestrian Total,Standard,Pandas,0.1,1880300.57,992.329256,95%,Ridge,"{'normalize': False, 'alpha': 0.01}",Not Removed
Train,Pedestrian Total,NA,Pandas,0.1,1880300.886,992.3208311,95%,Ridge,"{'normalize': False, 'alpha': 10}",Not Removed
Train,Pedestrian Total,Standard,KNN,0.3,1086422.44,739.7380301,95%,KNN,"{'p': 2, 'n_neighbors': 10, 'leaf_size': 20}",Removed
Test,Pedestrian Total,NA,KNN,0.5,677043.3686,596.5327633,95%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 50}",Not Removed
Test,Pedestrian Total,Standard,KNN,0.3,633807.2349,602.3162968,95%,RandomForest,"{'n_estimators': 1000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Removed
Train,Pedestrian Total,Standard,Pandas,0.1,1035351.233,710.7116949,95%,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 50}",Removed
Train,Pedestrian Total,Standard,Pandas,0.3,2214846.067,885.3719625,95%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 20}",Not Removed
Train,Pedestrian Total,NA,KNN,0.1,1078902.265,752.8774091,94%,Ridge,"{'normalize': False, 'alpha': 10}",Removed
Train,Pedestrian Total,Standard,KNN,0.1,1078920.476,752.876078,94%,Ridge,"{'normalize': False, 'alpha': 5}",Removed
Train,Pedestrian Total,NA,KNN,0.3,1179837.34,788.6531727,94%,Ridge,"{'normalize': False, 'alpha': 10}",Removed
Train,Pedestrian Total,Standard,KNN,0.3,1179985.385,788.5657785,94%,Ridge,"{'normalize': False, 'alpha': 10}",Removed
Test,Pedestrian Total,NA,KNN,0.3,674963.2641,617.6771939,94%,RandomForest,"{'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Removed
Train,Pedestrian Total,Standard,Pandas,0.1,2071031.775,888.554253,94%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 20}",Not Removed
Test,Pedestrian Total,Standard,KNN,0.1,731362.2749,645.2966318,94%,Ridge,"{'normalize': False, 'alpha': 5}",Removed
Test,Pedestrian Total,NA,KNN,0.1,731894.7274,645.4647406,94%,Ridge,"{'normalize': False, 'alpha': 10}",Removed
