Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params,feature importance,Outliers
Test,Pedestrian Total,NA,Pandas,0.5,12230372.4,3006.376979,0.04377047,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': True}","[0.11428095275624875 0.08865894641597735 0.11416265347926507
 0.03272071797235581 0.014318344392968448 0.019942852673865252
 0.005177670474112949 0.015378892068965564 0.0024366403289478957
 0.01345057616915578 0.011589370204821373 0.010869234180888605
 0.012765378200298787 0.017176055114594295 0.025054896556997785
 0.02447483847457399 0.39364371785362035 0.0008768125632737759
 0.000928850870572471 0.004159110013614268 0.0036617120029519006
 0.005861493492962566 0.056324301609468844 0.0014479788017995956
 0.01063800332769847]",Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.5,36441024.3,4618.608303,-1.069547187,RandomForest,NA,NA,Not Removed
Train,Pedestrian Total,NA,KNN,0.3,1.12E-05,0.00010627,1,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}","[0.10215681323336788 0.12965005001765428 0.13129449542829774
 0.03567706932883959 0.013719355843386901 0.020899899660467024
 0.006055277413099099 0.012234937644488965 0.0019301964837953928
 0.010186348577737878 0.007032475897689754 0.006807412788288478
 0.008458518198920618 0.011468786286675097 0.02476451756344878
 0.026473033698395834 0.4040879744634284 0.0008212150012266299
 0.0008306954199260911 0.0034629187348020917 0.0030823723390600243
 0.003348888971178937 0.027456495678443098 0.0010254603424193222
 0.0070747909849620885]",Not Removed
Test,Pedestrian Total,NA,KNN,0.3,901878.9362,720.1496682,0.925517866,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}","[0.10215681323336788 0.12965005001765428 0.13129449542829774
 0.03567706932883959 0.013719355843386901 0.020899899660467024
 0.006055277413099099 0.012234937644488965 0.0019301964837953928
 0.010186348577737878 0.007032475897689754 0.006807412788288478
 0.008458518198920618 0.011468786286675097 0.02476451756344878
 0.026473033698395834 0.4040879744634284 0.0008212150012266299
 0.0008306954199260911 0.0034629187348020917 0.0030823723390600243
 0.003348888971178937 0.027456495678443098 0.0010254603424193222
 0.0070747909849620885]",Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.3,43680393.27,5199.565323,-1.480683152,RandomForest,NA,NA,Not Removed
Train,Pedestrian Total,NA,Pandas,0.3,2677.584081,33.86881144,0.99993402,RandomForest,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}","[0.13924375019854013 0.10595945604114847 0.08040548882610406
 0.031877857381031605 0.016583995000167003 0.023498221946346327
 0.008039639233569085 0.014904174799060707 0.002082221074110959
 0.011016126950473324 0.00865776576620518 0.00835641266973565
 0.009203264769527078 0.014160639896614896 0.029427445296382828
 0.026462316395135597 0.4139781979699212 0.0009896234852199656
 0.0009819987193261104 0.004198389634501277 0.003583322385468052
 0.004755502509687148 0.031472948579992235 0.0011961783172373664
 0.008965062154493672]",Not Removed
Test,Pedestrian Total,NA,Pandas,0.3,1361401.454,895.303757,0.887567964,RandomForest,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}","[0.13924375019854013 0.10595945604114847 0.08040548882610406
 0.031877857381031605 0.016583995000167003 0.023498221946346327
 0.008039639233569085 0.014904174799060707 0.002082221074110959
 0.011016126950473324 0.00865776576620518 0.00835641266973565
 0.009203264769527078 0.014160639896614896 0.029427445296382828
 0.026462316395135597 0.4139781979699212 0.0009896234852199656
 0.0009819987193261104 0.004198389634501277 0.003583322385468052
 0.004755502509687148 0.031472948579992235 0.0011961783172373664
 0.008965062154493672]",Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.3,39805449.67,4881.875174,-1.260618574,RandomForest,NA,NA,Not Removed
Train,Pedestrian Total,NA,KNN,0.1,2360.976492,32.2810875,0.999933935,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}","[0.11168231473898042 0.13607948815733684 0.1318277276812387
 0.03241154953000168 0.012499541369290669 0.024149788107584513
 0.006379775260544379 0.015733878629075125 0.0017678323843976981
 0.009068480186595503 0.006799471824670516 0.006698352341590726
 0.00859065233385499 0.010674523226846188 0.02473690629698401
 0.022151307946315955 0.3922909167297755 0.0007963081241317782
 0.0008379536365293796 0.0034006303552096286 0.0031010611102605585
 0.0028247011961759815 0.03062277097404176 0.0009388319214360701
 0.003935235937131385]",Not Removed
Test,Pedestrian Total,NA,KNN,0.1,437204.4872,483.4646924,0.964138304,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}","[0.11168231473898042 0.13607948815733684 0.1318277276812387
 0.03241154953000168 0.012499541369290669 0.024149788107584513
 0.006379775260544379 0.015733878629075125 0.0017678323843976981
 0.009068480186595503 0.006799471824670516 0.006698352341590726
 0.00859065233385499 0.010674523226846188 0.02473690629698401
 0.022151307946315955 0.3922909167297755 0.0007963081241317782
 0.0008379536365293796 0.0034006303552096286 0.0031010611102605585
 0.0028247011961759815 0.03062277097404176 0.0009388319214360701
 0.003935235937131385]",Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.1,45573329.59,5342.958335,-1.588186196,RandomForest,NA,NA,Not Removed
Train,Pedestrian Total,NA,Pandas,0.1,0,0,1,RandomForest,"{'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}","[0.15780842853098048 0.07576096070220342 0.07566980363513716
 0.03151315462027141 0.010905036635513439 0.023713198274351803
 0.004639458088307613 0.011516131130377272 0.0016596184982964988
 0.01111769227842509 0.007879448634173818 0.008174287697852662
 0.017591600533783343 0.013326656053577112 0.06160116970308854
 0.018597993220252473 0.40745376053065785 0.0006890271100863189
 0.0006364754073034714 0.009469272086888691 0.002965335454288038
 0.0032871744067000013 0.03418596907585959 0.0005185148183781648
 0.009319832873245873]",Not Removed
Test,Pedestrian Total,NA,Pandas,0.1,1297565.721,802.2950997,0.893567178,RandomForest,"{'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}","[0.15780842853098048 0.07576096070220342 0.07566980363513716
 0.03151315462027141 0.010905036635513439 0.023713198274351803
 0.004639458088307613 0.011516131130377272 0.0016596184982964988
 0.01111769227842509 0.007879448634173818 0.008174287697852662
 0.017591600533783343 0.013326656053577112 0.06160116970308854
 0.018597993220252473 0.40745376053065785 0.0006890271100863189
 0.0006364754073034714 0.009469272086888691 0.002965335454288038
 0.0032871744067000013 0.03418596907585959 0.0005185148183781648
 0.009319832873245873]",Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.1,45870789.41,5351.410594,-1.60507944,RandomForest,NA,NA,Not Removed
Train,Pedestrian Total,Standard,KNN,0.5,0,0,1,RandomForest,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}","[0.10577014090372787 0.08367935026681153 0.11283434336451657
 0.040908361082396726 0.022415924620456912 0.02114961168154529
 0.004241311745635548 0.015522087223260084 0.0025119819748744866
 0.012562126212983365 0.00905511985680299 0.010587235077613106
 0.017226640607986423 0.01679200430027675 0.017408072965872566
 0.03420388725753162 0.3891038126380665 0.0008911477001549978
 0.0008937362642531122 0.002601142043302289 0.003880521609402405
 0.004589025391488688 0.06092647980303017 0.0013624467258777518
 0.008883488682132281]",Not Removed
Test,Pedestrian Total,Standard,KNN,0.5,2899996.927,1273.462725,0.773264247,RandomForest,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}","[0.10577014090372787 0.08367935026681153 0.11283434336451657
 0.040908361082396726 0.022415924620456912 0.02114961168154529
 0.004241311745635548 0.015522087223260084 0.0025119819748744866
 0.012562126212983365 0.00905511985680299 0.010587235077613106
 0.017226640607986423 0.01679200430027675 0.017408072965872566
 0.03420388725753162 0.3891038126380665 0.0008911477001549978
 0.0008937362642531122 0.002601142043302289 0.003880521609402405
 0.004589025391488688 0.06092647980303017 0.0013624467258777518
 0.008883488682132281]",Not Removed
Validation Data,Pedestrian Total,Standard,KNN,0.5,3820601.597,1421.198793,0.783021596,RandomForest,NA,NA,Not Removed
Train,Pedestrian Total,Standard,Pandas,0.5,0,0,1,RandomForest,"{'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}","[0.12055499765302359 0.06916282217538867 0.14048116557254692
 0.023138454021231016 0.011786215159467145 0.021985452966430594
 0.0031391779813491317 0.01215685328607372 0.0021436750433850775
 0.011379219754869706 0.010583688140662458 0.009662066689378503
 0.014889222128174392 0.01831111194450921 0.0232038012001244
 0.017901979056287067 0.40214936295977793 0.0011656863745971684
 0.001271997482805749 0.004488941207682473 0.003728955792413714
 0.00705946329954117 0.054718340252035605 0.0014303273251097513
 0.013507022533134898]",Not Removed
Test,Pedestrian Total,Standard,Pandas,0.5,13602443.54,3136.662907,-0.063504672,RandomForest,"{'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}","[0.12055499765302359 0.06916282217538867 0.14048116557254692
 0.023138454021231016 0.011786215159467145 0.021985452966430594
 0.0031391779813491317 0.01215685328607372 0.0021436750433850775
 0.011379219754869706 0.010583688140662458 0.009662066689378503
 0.014889222128174392 0.01831111194450921 0.0232038012001244
 0.017901979056287067 0.40214936295977793 0.0011656863745971684
 0.001271997482805749 0.004488941207682473 0.003728955792413714
 0.00705946329954117 0.054718340252035605 0.0014303273251097513
 0.013507022533134898]",Not Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.5,5678088.816,1949.387897,0.677531766,RandomForest,NA,NA,Not Removed
Train,Pedestrian Total,Standard,KNN,0.3,2.58E-06,3.36E-05,1,RandomForest,"{'n_estimators': 1000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}","[0.104025605203435 0.12503806037858692 0.12660883109519613
 0.029464056486740962 0.01553733127721552 0.022571448875615744
 0.00685132475316413 0.013671365460368375 0.0018896483873711892
 0.009978984723687991 0.007109733238279922 0.006864239284319696
 0.00843107421707007 0.011314962019539288 0.026072094984364948
 0.025889695119142565 0.41084650078499013 0.0008605250839705318
 0.0007917230111354988 0.002930900314982435 0.004082587427035448
 0.0034823933195601013 0.02767438237197411 0.0010487539530764222
 0.006963778229176852]",Not Removed
Test,Pedestrian Total,Standard,KNN,0.3,875264.6615,709.1936278,0.92771582,RandomForest,"{'n_estimators': 1000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}","[0.104025605203435 0.12503806037858692 0.12660883109519613
 0.029464056486740962 0.01553733127721552 0.022571448875615744
 0.00685132475316413 0.013671365460368375 0.0018896483873711892
 0.009978984723687991 0.007109733238279922 0.006864239284319696
 0.00843107421707007 0.011314962019539288 0.026072094984364948
 0.025889695119142565 0.41084650078499013 0.0008605250839705318
 0.0007917230111354988 0.002930900314982435 0.004082587427035448
 0.0034823933195601013 0.02767438237197411 0.0010487539530764222
 0.006963778229176852]",Not Removed
Validation Data,Pedestrian Total,Standard,KNN,0.3,2854364.425,1196.462238,0.837895834,RandomForest,NA,NA,Not Removed
