Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params,feature importance
Validation Data,Cycle Total,Standard,Pandas,0.5,8544.463063481737,64.66125684931507,0.05350209364375946,RandomForest,NA,NA
Train,Cycle Total,Standard,KNN,0.3,0.04365358684599527,0.12193944558627655,0.9999986525787096,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}","[0.024340710635001924 0.03913063567905844 0.002385456424666406
 0.0032774462298024195 0.002021304737579142 0.0025568436838679792
 0.0013532629871313485 0.009680426966402856 0.01238570116591739
 0.015997767038263045 0.002949050007847073 0.012987759427510981
 0.028408362719745225 0.005616195344911211 0.009440887514448283
 0.011297742575346477 0.003954647797687361 0.013839847017977096
 0.07587176990073012 0.00029552720402115535 0.0013337312292328104
 0.0008942253999689618 0.0008765155467063892 0.0011800237156919424
 0.0010722796008545122 0.0037350761110646123 0.06163217044885356
 0.000940489862081832 0.0005226784783109889 0.3472751225104154
 0.02230486060357683 0.031882224109620085 0.06577818283252021
 0.016961585093770493 0.16581948939941535]"
Test,Cycle Total,Standard,KNN,0.3,85.87528644540458,5.905368261842921,0.9937170716176513,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}","[0.024340710635001924 0.03913063567905844 0.002385456424666406
 0.0032774462298024195 0.002021304737579142 0.0025568436838679792
 0.0013532629871313485 0.009680426966402856 0.01238570116591739
 0.015997767038263045 0.002949050007847073 0.012987759427510981
 0.028408362719745225 0.005616195344911211 0.009440887514448283
 0.011297742575346477 0.003954647797687361 0.013839847017977096
 0.07587176990073012 0.00029552720402115535 0.0013337312292328104
 0.0008942253999689618 0.0008765155467063892 0.0011800237156919424
 0.0010722796008545122 0.0037350761110646123 0.06163217044885356
 0.000940489862081832 0.0005226784783109889 0.3472751225104154
 0.02230486060357683 0.031882224109620085 0.06577818283252021
 0.016961585093770493 0.16581948939941535]"
Validation Data,Cycle Total,Standard,KNN,0.3,7688.949469986825,59.200810741443334,0.14827011114072775,RandomForest,NA,NA
Train,Cycle Total,Standard,Pandas,0.3,3.257328990227643e-07,9.77198697068441e-06,0.9999999999899458,RandomForest,"{'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}","[0.033721159001163035 0.03803414977971286 0.0026944157516272976
 0.001988065048776573 0.0032646287541285126 0.0030286032712157434
 0.0011008628967852016 0.007955039974279307 0.012704376594765714
 0.014775913290733148 0.0038573950492904303 0.011439417827793947
 0.04172522870675585 0.004988343041747147 0.006681280442650538
 0.020417023960144998 0.0026334905845988217 0.013991045371152056
 0.04833043137594412 0.00030244639169449 0.001408700795904748
 0.0009727408148949259 0.0008052978460396447 0.0013712113842075347
 0.0012371592297469888 0.004868387056418073 0.08771344750230758
 0.0009561215537562644 0.0006379680382720015 0.32702607641489434
 0.02688443119635241 0.02600647667806093 0.06755753369381194
 0.018046809861435337 0.16087432081893746]"
Test,Cycle Total,Standard,Pandas,0.3,150.71284566869298,7.571348784194529,0.9889733349973933,RandomForest,"{'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}","[0.033721159001163035 0.03803414977971286 0.0026944157516272976
 0.001988065048776573 0.0032646287541285126 0.0030286032712157434
 0.0011008628967852016 0.007955039974279307 0.012704376594765714
 0.014775913290733148 0.0038573950492904303 0.011439417827793947
 0.04172522870675585 0.004988343041747147 0.006681280442650538
 0.020417023960144998 0.0026334905845988217 0.013991045371152056
 0.04833043137594412 0.00030244639169449 0.001408700795904748
 0.0009727408148949259 0.0008052978460396447 0.0013712113842075347
 0.0012371592297469888 0.004868387056418073 0.08771344750230758
 0.0009561215537562644 0.0006379680382720015 0.32702607641489434
 0.02688443119635241 0.02600647667806093 0.06755753369381194
 0.018046809861435337 0.16087432081893746]"
Validation Data,Cycle Total,Standard,Pandas,0.3,8194.551286210044,62.300904109589034,0.09226295692287245,RandomForest,NA,NA
Train,Cycle Total,Standard,KNN,0.1,3.0527582494148605e-08,7.346887073276144e-06,0.9999999999989316,RandomForest,"{'n_estimators': 1000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}","[0.026977088836896732 0.04413040557303121 0.0024523341223974134
 0.0041865087912414745 0.002127766689379914 0.003212061119336824
 0.0023967462572914463 0.010697480607443908 0.014109674861874347
 0.016064828360833748 0.003797777859746442 0.01493282053341755
 0.02392762030413495 0.004691341726766581 0.011562490557924883
 0.011801682864185505 0.005274890553183683 0.01354060107920666
 0.07719115870744629 0.0002734545187895965 0.001525352517702511
 0.0008919857709378814 0.0008385992863644751 0.0011948111140427983
 0.0010686531027325125 0.0031369015984473304 0.06610232828723289
 0.0007309675287331248 0.0003891109441647104 0.34848191361814856
 0.024800907286149285 0.03549367966727557 0.0684697381260964
 0.01467478637158542 0.13885153085585744]"
Test,Cycle Total,Standard,KNN,0.1,33.57681817378917,3.926716239316239,0.9967139756568715,RandomForest,"{'n_estimators': 1000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}","[0.026977088836896732 0.04413040557303121 0.0024523341223974134
 0.0041865087912414745 0.002127766689379914 0.003212061119336824
 0.0023967462572914463 0.010697480607443908 0.014109674861874347
 0.016064828360833748 0.003797777859746442 0.01493282053341755
 0.02392762030413495 0.004691341726766581 0.011562490557924883
 0.011801682864185505 0.005274890553183683 0.01354060107920666
 0.07719115870744629 0.0002734545187895965 0.001525352517702511
 0.0008919857709378814 0.0008385992863644751 0.0011948111140427983
 0.0010686531027325125 0.0031369015984473304 0.06610232828723289
 0.0007309675287331248 0.0003891109441647104 0.34848191361814856
 0.024800907286149285 0.03549367966727557 0.0684697381260964
 0.01467478637158542 0.13885153085585744]"
Validation Data,Cycle Total,Standard,KNN,0.1,7561.450210504795,58.83771187214612,0.1623936179386538,RandomForest,NA,NA
Train,Cycle Total,Standard,Pandas,0.1,2.026727468492795e-07,5.066818671229396e-06,0.9999999999929071,RandomForest,"{'n_estimators': 100, 'max_features': 'log2', 'max_depth': 100, 'bootstrap': False}","[0.03738214506217266 0.04176684723649513 0.004351281248416046
 0.007219593284073785 0.001567505260038807 0.0031215644943447182
 0.0020937204857846394 0.010912923210255604 0.01751053886482959
 0.013816792359843538 0.004259859553746974 0.018522339223489684
 0.01834582078302147 0.006549180203134529 0.010968197101725904
 0.007439358316091619 0.003311245809402383 0.008881251518190478
 0.08556532192604399 0.00027738555424350466 0.0012581138886963242
 0.0008764037847556413 0.0009553396217692523 0.0011175514071045864
 0.0010738361252954824 0.0026854508755642784 0.060585244550538486
 0.0007403422905494068 0.0003741703496233664 0.3408205920816342
 0.03489332495290889 0.03664579320542737 0.060096421265725924
 0.01383918401097266 0.1401753600940891]"
Test,Cycle Total,Standard,Pandas,0.1,38.06013492877493,4.161059829059829,0.9962752119860976,RandomForest,"{'n_estimators': 100, 'max_features': 'log2', 'max_depth': 100, 'bootstrap': False}","[0.03738214506217266 0.04176684723649513 0.004351281248416046
 0.007219593284073785 0.001567505260038807 0.0031215644943447182
 0.0020937204857846394 0.010912923210255604 0.01751053886482959
 0.013816792359843538 0.004259859553746974 0.018522339223489684
 0.01834582078302147 0.006549180203134529 0.010968197101725904
 0.007439358316091619 0.003311245809402383 0.008881251518190478
 0.08556532192604399 0.00027738555424350466 0.0012581138886963242
 0.0008764037847556413 0.0009553396217692523 0.0011175514071045864
 0.0010738361252954824 0.0026854508755642784 0.060585244550538486
 0.0007403422905494068 0.0003741703496233664 0.3408205920816342
 0.03489332495290889 0.03664579320542737 0.060096421265725924
 0.01383918401097266 0.1401753600940891]"
Validation Data,Cycle Total,Standard,Pandas,0.1,7629.786901267123,60.59301940639269,0.15482374090210882,RandomForest,NA,NA
