Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params,feature importance,Outliers
Train,Pedestrian Total,Not Scaled,Pandas,0.3,124778.37722482899,228.21641938110747,0.9969252752061828,RandomForest,"{'n_estimators': 100, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': True}","[0.01806128537103107 0.01033839142183872 0.011220122208094898
 0.006341728215662068 0.0323231565437543 0.002860419260976269
 0.0010407583915823407 0.0028610830312372016 0.00045486221917063953
 0.0027150309746073334 0.0009413566163808765 0.0008755472915095385
 0.0014738752210382653 0.0020626439769399927 0.0018820560111721671
 0.004451515657238777 0.8897248779046516 0.0002815262146665129
 0.00024701775572201766 0.0039389199491453135 0.0040426441860487465
 0.00013705282020024504 0.0012834960146553152 0.00021522960999220372
 0.00022540313268362136]",Not Removed
Test,Pedestrian Total,Not Scaled,Pandas,0.3,967059.3275920214,703.0404331306991,0.9201349100821903,RandomForest,"{'n_estimators': 100, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': True}","[0.01806128537103107 0.01033839142183872 0.011220122208094898
 0.006341728215662068 0.0323231565437543 0.002860419260976269
 0.0010407583915823407 0.0028610830312372016 0.00045486221917063953
 0.0027150309746073334 0.0009413566163808765 0.0008755472915095385
 0.0014738752210382653 0.0020626439769399927 0.0018820560111721671
 0.004451515657238777 0.8897248779046516 0.0002815262146665129
 0.00024701775572201766 0.0039389199491453135 0.0040426441860487465
 0.00013705282020024504 0.0012834960146553152 0.00021522960999220372
 0.00022540313268362136]",Not Removed
Validation Data,Pedestrian Total,Not Scaled,Pandas,0.3,54070688.27923096,6043.6727488584465,-2.070765517133568,RandomForest,NA,NA,Not Removed
Train,Pedestrian Total,Not Scaled,KNN,0.1,96014.6589433743,193.3495082019127,0.9973133100247004,RandomForest,"{'n_estimators': 2000, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': True}","[0.023753817751857195 0.10283777831502051 0.0480129865535651
 0.0020951942782899097 0.009158608629923263 0.002323493668466579
 0.000928916479203192 0.0015823367734573665 0.0003980517318703814
 0.0018332565169169607 0.0008288689112362001 0.000747219043619388
 0.0014156325995304275 0.0017769431417215802 0.0012019992783460698
 0.0027666325543475277 0.7919218969713117 0.0002055494897643786
 0.00020470002875982928 0.00209246482981473 0.0021192679365061302
 0.00014110249879000712 0.0013113340190180893 0.00011330260582078546
 0.0002286453928426338]",Not Removed
Test,Pedestrian Total,Not Scaled,KNN,0.1,356373.63195638807,410.83571509971506,0.9707684545381844,RandomForest,"{'n_estimators': 2000, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': True}","[0.023753817751857195 0.10283777831502051 0.0480129865535651
 0.0020951942782899097 0.009158608629923263 0.002323493668466579
 0.000928916479203192 0.0015823367734573665 0.0003980517318703814
 0.0018332565169169607 0.0008288689112362001 0.000747219043619388
 0.0014156325995304275 0.0017769431417215802 0.0012019992783460698
 0.0027666325543475277 0.7919218969713117 0.0002055494897643786
 0.00020470002875982928 0.00209246482981473 0.0021192679365061302
 0.00014110249879000712 0.0013113340190180893 0.00011330260582078546
 0.0002286453928426338]",Not Removed
Validation Data,Pedestrian Total,Not Scaled,KNN,0.1,54255903.25289061,6054.557441152968,-2.081284187645652,RandomForest,NA,NA,Not Removed
Train,Pedestrian Total,Not Scaled,Pandas,0.1,108126.5333781223,216.13921267971372,0.9969743945717473,RandomForest,"{'n_estimators': 1000, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': True}","[0.017251885914815 0.008728495396230959 0.009651927621654925
 0.005920799339877269 0.02910834419662925 0.003746262261140058
 0.0011645572633052872 0.00480253183654941 0.00044007423584622616
 0.0026175249182563936 0.001000983895246699 0.0008943951122040028
 0.0016924164515213903 0.0019228448662245115 0.0022329779425173083
 0.005975152330132987 0.8908892875459442 0.0002435699893343892
 0.00025033064601208264 0.004804143417019234 0.004973657951241378
 0.00019226639948313287 0.0010633516631721337 0.00015115619899044763
 0.0002810626066511241]",Not Removed
Test,Pedestrian Total,Not Scaled,Pandas,0.1,898462.7866427368,685.2573612535613,0.9263035942100487,RandomForest,"{'n_estimators': 1000, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': True}","[0.017251885914815 0.008728495396230959 0.009651927621654925
 0.005920799339877269 0.02910834419662925 0.003746262261140058
 0.0011645572633052872 0.00480253183654941 0.00044007423584622616
 0.0026175249182563936 0.001000983895246699 0.0008943951122040028
 0.0016924164515213903 0.0019228448662245115 0.0022329779425173083
 0.005975152330132987 0.8908892875459442 0.0002435699893343892
 0.00025033064601208264 0.004804143417019234 0.004973657951241378
 0.00019226639948313287 0.0010633516631721337 0.00015115619899044763
 0.0002810626066511241]",Not Removed
Validation Data,Pedestrian Total,Not Scaled,Pandas,0.1,54426778.05868514,6071.6874196347035,-2.0909884558560177,RandomForest,NA,NA,Not Removed
Train,Pedestrian Total,Standard,KNN,0.5,129215.15619776359,233.36127708542563,0.9972438241717765,RandomForest,"{'n_estimators': 500, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': True}","[0.018957633989425057 0.10875253276975502 0.03720334336443793
 0.0018088095886510116 0.014478957956216933 0.001947523551733901
 0.0008638145987484401 0.0016795372495390436 0.0004948963796482747
 0.003373436316001105 0.0009332570486002436 0.0008417500722510441
 0.0014647537059788193 0.0021487388237873607 0.001170652991432166
 0.00303835461029582 0.7909865871593748 0.0002037658800251308
 0.0002038632801076522 0.002588155213124085 0.0025829970162420846
 0.00016036034790830402 0.0035138945598956342 0.00013181269340277658
 0.0004705708334173455]",Not Removed
