Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2006,2006,1000 US$,477550,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2007,2007,1000 US$,676745,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2008,2008,1000 US$,749138,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2009,2009,1000 US$,732977,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2010,2010,1000 US$,755907,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2011,2011,1000 US$,951557,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2012,2012,1000 US$,844657,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2013,2013,1000 US$,920315,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2014,2014,1000 US$,1008442,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2015,2015,1000 US$,908680,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2016,2016,1000 US$,973712,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2017,2017,1000 US$,1101592,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2018,2018,1000 US$,1333267,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2019,2019,1000 US$,1195077,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2020,2020,1000 US$,1105437,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",1992,1992,tonnes,48974,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",1993,1993,tonnes,55385,,Official data
