Statistic,Month,Commodity Group,VALUE
EU HICP,2018M07,Food and non-alcoholic beverages (COICOP 01),94.7
EU HICP,2018M07,Food (COICOP 01.1),94.5
EU HICP,2018M07,Bread and cereals (COICOP 01.1.1),93.2
EU HICP,2018M07,Meat (COICOP 01.1.2),93.1
EU HICP,2018M08,All-items HICP (COICOP 00),101.7
EU HICP,2018M08,Food and non-alcoholic beverages (COICOP 01),94.5
EU HICP,2018M08,Food (COICOP 01.1),94.4
EU HICP,2018M08,Bread and cereals (COICOP 01.1.1),92
EU HICP,2018M08,Meat (COICOP 01.1.2),93.7
EU HICP,2018M09,All-items HICP (COICOP 00),101.4
EU HICP,2018M09,Food and non-alcoholic beverages (COICOP 01),94.2
EU HICP,2018M09,Food (COICOP 01.1),93.9
EU HICP,2018M09,Bread and cereals (COICOP 01.1.1),92.7
EU HICP,2018M09,Meat (COICOP 01.1.2),92.9
EU HICP,2018M10,All-items HICP (COICOP 00),101.2
EU HICP,2018M10,Food and non-alcoholic beverages (COICOP 01),94.6
EU HICP,2018M10,Food (COICOP 01.1),94.5
EU HICP,2018M10,Bread and cereals (COICOP 01.1.1),92.3
EU HICP,2018M10,Meat (COICOP 01.1.2),93.2
EU HICP,2018M11,All-items HICP (COICOP 00),100.8
EU HICP,2018M11,Food and non-alcoholic beverages (COICOP 01),94.4
EU HICP,2018M11,Food (COICOP 01.1),94.2
EU HICP,2018M11,Bread and cereals (COICOP 01.1.1),91.9
EU HICP,2018M11,Meat (COICOP 01.1.2),93.1
EU HICP,2018M12,All-items HICP (COICOP 00),100.7
EU HICP,2018M12,Food and non-alcoholic beverages (COICOP 01),94.2
EU HICP,2018M12,Food (COICOP 01.1),94.1
EU HICP,2018M12,Bread and cereals (COICOP 01.1.1),91.7
EU HICP,2018M12,Meat (COICOP 01.1.2),93.1
EU HICP,2019M01,All-items HICP (COICOP 00),100
EU HICP,2019M01,Food and non-alcoholic beverages (COICOP 01),94.3
EU HICP,2019M01,Food (COICOP 01.1),94.3
EU HICP,2019M01,Bread and cereals (COICOP 01.1.1),91.3
EU HICP,2019M01,Meat (COICOP 01.1.2),93.2
EU HICP,2019M02,All-items HICP (COICOP 00),100.8
EU HICP,2019M02,Food and non-alcoholic beverages (COICOP 01),94.1
EU HICP,2019M02,Food (COICOP 01.1),94
EU HICP,2019M02,Bread and cereals (COICOP 01.1.1),92.2
EU HICP,2019M02,Meat (COICOP 01.1.2),92.2
EU HICP,2019M03,All-items HICP (COICOP 00),101.6
EU HICP,2019M03,Food and non-alcoholic beverages (COICOP 01),94.5
EU HICP,2019M03,Food (COICOP 01.1),94.3
EU HICP,2019M03,Bread and cereals (COICOP 01.1.1),93
EU HICP,2019M03,Meat (COICOP 01.1.2),92.5
EU HICP,2019M04,All-items HICP (COICOP 00),102
EU HICP,2019M04,Food and non-alcoholic beverages (COICOP 01),94.5
EU HICP,2019M04,Food (COICOP 01.1),94.4
EU HICP,2019M04,Bread and cereals (COICOP 01.1.1),92.9
EU HICP,2019M04,Meat (COICOP 01.1.2),93
EU HICP,2019M05,All-items HICP (COICOP 00),101.9
EU HICP,2019M05,Food and non-alcoholic beverages (COICOP 01),94.6
EU HICP,2019M05,Food (COICOP 01.1),94.5
EU HICP,2019M05,Bread and cereals (COICOP 01.1.1),93.3
EU HICP,2019M05,Meat (COICOP 01.1.2),93.5
EU HICP,2019M06,All-items HICP (COICOP 00),102.1
EU HICP,2019M06,Food and non-alcoholic beverages (COICOP 01),94.2
EU HICP,2019M06,Food (COICOP 01.1),94.1
EU HICP,2019M06,Bread and cereals (COICOP 01.1.1),93
EU HICP,2019M06,Meat (COICOP 01.1.2),93
EU HICP,2019M07,All-items HICP (COICOP 00),101.9
EU HICP,2019M07,Food and non-alcoholic beverages (COICOP 01),94.2
EU HICP,2019M07,Food (COICOP 01.1),94.1
EU HICP,2019M07,Bread and cereals (COICOP 01.1.1),92.5
EU HICP,2019M07,Meat (COICOP 01.1.2),92.2
EU HICP,2019M08,All-items HICP (COICOP 00),102.3
EU HICP,2019M08,Food and non-alcoholic beverages (COICOP 01),94.2
EU HICP,2019M08,Food (COICOP 01.1),94.1
EU HICP,2019M08,Bread and cereals (COICOP 01.1.1),92.6
EU HICP,2019M08,Meat (COICOP 01.1.2),93
EU HICP,2019M09,All-items HICP (COICOP 00),102
EU HICP,2019M09,Food and non-alcoholic beverages (COICOP 01),93.3
EU HICP,2019M09,Food (COICOP 01.1),93.3
EU HICP,2019M09,Bread and cereals (COICOP 01.1.1),92.2
EU HICP,2019M09,Meat (COICOP 01.1.2),93.1
EU HICP,2019M10,All-items HICP (COICOP 00),101.8
EU HICP,2019M10,Food and non-alcoholic beverages (COICOP 01),93.4
EU HICP,2019M10,Food (COICOP 01.1),93.5
EU HICP,2019M10,Bread and cereals (COICOP 01.1.1),92.5
EU HICP,2019M10,Meat (COICOP 01.1.2),93.1
EU HICP,2019M11,All-items HICP (COICOP 00),101.6
EU HICP,2019M11,Food and non-alcoholic beverages (COICOP 01),93.3
EU HICP,2019M11,Food (COICOP 01.1),93.2
EU HICP,2019M11,Bread and cereals (COICOP 01.1.1),92.1
EU HICP,2019M11,Meat (COICOP 01.1.2),92.2
EU HICP,2019M12,All-items HICP (COICOP 00),101.8
EU HICP,2019M12,Food and non-alcoholic beverages (COICOP 01),93.4
EU HICP,2019M12,Food (COICOP 01.1),93.3
EU HICP,2019M12,Bread and cereals (COICOP 01.1.1),92
EU HICP,2019M12,Meat (COICOP 01.1.2),93
EU HICP,2020M01,All-items HICP (COICOP 00),101.1
EU HICP,2020M01,Food and non-alcoholic beverages (COICOP 01),93.3
EU HICP,2020M01,Food (COICOP 01.1),93.4
EU HICP,2020M01,Bread and cereals (COICOP 01.1.1),91.6
EU HICP,2020M01,Meat (COICOP 01.1.2),93
EU HICP,2020M02,All-items HICP (COICOP 00),101.7
EU HICP,2020M02,Food and non-alcoholic beverages (COICOP 01),93.2
EU HICP,2020M02,Food (COICOP 01.1),93.1
EU HICP,2020M02,Bread and cereals (COICOP 01.1.1),91.6
EU HICP,2020M02,Meat (COICOP 01.1.2),93.3
EU HICP,2020M03,All-items HICP (COICOP 00),102.1
EU HICP,2020M03,Food and non-alcoholic beverages (COICOP 01),93
EU HICP,2020M03,Food (COICOP 01.1),93.1
EU HICP,2020M03,Bread and cereals (COICOP 01.1.1),92
EU HICP,2020M03,Meat (COICOP 01.1.2),93.2
EU HICP,2020M04,All-items HICP (COICOP 00),101.7
EU HICP,2020M04,Food and non-alcoholic beverages (COICOP 01),93.3
EU HICP,2020M04,Food (COICOP 01.1),93.3
EU HICP,2020M04,Bread and cereals (COICOP 01.1.1),92.2
EU HICP,2020M04,Meat (COICOP 01.1.2),93.4
EU HICP,2020M05,All-items HICP (COICOP 00),101.1
EU HICP,2020M05,Food and non-alcoholic beverages (COICOP 01),93.4
EU HICP,2020M05,Food (COICOP 01.1),93.4
EU HICP,2020M05,Bread and cereals (COICOP 01.1.1),92.8
EU HICP,2020M05,Meat (COICOP 01.1.2),93.3
EU HICP,2020M06,All-items HICP (COICOP 00),101.5
EU HICP,2020M06,Food and non-alcoholic beverages (COICOP 01),92.8
EU HICP,2020M06,Food (COICOP 01.1),92.9
EU HICP,2020M06,Bread and cereals (COICOP 01.1.1),92.5
EU HICP,2020M06,Meat (COICOP 01.1.2),92.8
EU HICP,2020M07,All-items HICP (COICOP 00),101.3
EU HICP,2020M07,Food and non-alcoholic beverages (COICOP 01),93
EU HICP,2020M07,Food (COICOP 01.1),93
EU HICP,2020M07,Bread and cereals (COICOP 01.1.1),92.4
EU HICP,2020M07,Meat (COICOP 01.1.2),92.8
EU HICP,2020M08,All-items HICP (COICOP 00),101.2
EU HICP,2020M08,Food and non-alcoholic beverages (COICOP 01),92.6
EU HICP,2020M08,Food (COICOP 01.1),92.6
EU HICP,2020M08,Bread and cereals (COICOP 01.1.1),91.6
EU HICP,2020M08,Meat (COICOP 01.1.2),92.8
EU HICP,2020M09,All-items HICP (COICOP 00),100.8
EU HICP,2020M09,Food and non-alcoholic beverages (COICOP 01),92
EU HICP,2020M09,Food (COICOP 01.1),92.1
EU HICP,2020M09,Bread and cereals (COICOP 01.1.1),91.1
EU HICP,2020M09,Meat (COICOP 01.1.2),92.2
EU HICP,2020M10,All-items HICP (COICOP 00),100.3
EU HICP,2020M10,Food and non-alcoholic beverages (COICOP 01),92
EU HICP,2020M10,Food (COICOP 01.1),92.2
EU HICP,2020M10,Bread and cereals (COICOP 01.1.1),90.6
EU HICP,2020M10,Meat (COICOP 01.1.2),92.7
EU HICP,2020M11,All-items HICP (COICOP 00),100.6
EU HICP,2020M11,Food and non-alcoholic beverages (COICOP 01),92
EU HICP,2020M11,Food (COICOP 01.1),92.2
EU HICP,2020M11,Bread and cereals (COICOP 01.1.1),91.2
EU HICP,2020M11,Meat (COICOP 01.1.2),92.5
EU HICP,2020M12,All-items HICP (COICOP 00),100.8
EU HICP,2020M12,Food and non-alcoholic beverages (COICOP 01),92
EU HICP,2020M12,Food (COICOP 01.1),92.3
EU HICP,2020M12,Bread and cereals (COICOP 01.1.1),91.3
EU HICP,2020M12,Meat (COICOP 01.1.2),92.7
EU HICP,2021M01,All-items HICP (COICOP 00),101
EU HICP,2021M01,Food and non-alcoholic beverages (COICOP 01),91.3
EU HICP,2021M01,Food (COICOP 01.1),91.5
EU HICP,2021M01,Bread and cereals (COICOP 01.1.1),90.2
EU HICP,2021M01,Meat (COICOP 01.1.2),91.3
EU HICP,2021M02,All-items HICP (COICOP 00),101.3
EU HICP,2021M02,Food and non-alcoholic beverages (COICOP 01),91.4
EU HICP,2021M02,Food (COICOP 01.1),91.5
EU HICP,2021M02,Bread and cereals (COICOP 01.1.1),90.9
EU HICP,2021M02,Meat (COICOP 01.1.2),90.2
EU HICP,2021M03,All-items HICP (COICOP 00),102.2
EU HICP,2021M03,Food and non-alcoholic beverages (COICOP 01),92.2
EU HICP,2021M03,Food (COICOP 01.1),92.2
EU HICP,2021M03,Bread and cereals (COICOP 01.1.1),91.2
EU HICP,2021M03,Meat (COICOP 01.1.2),91.6
EU HICP,2021M04,All-items HICP (COICOP 00),102.8
EU HICP,2021M04,Food and non-alcoholic beverages (COICOP 01),92.6
EU HICP,2021M04,Food (COICOP 01.1),92.5
EU HICP,2021M04,Bread and cereals (COICOP 01.1.1),92
EU HICP,2021M04,Meat (COICOP 01.1.2),92.1
EU HICP,2021M05,All-items HICP (COICOP 00),103
EU HICP,2021M05,Food and non-alcoholic beverages (COICOP 01),92.4
EU HICP,2021M05,Food (COICOP 01.1),92.4
EU HICP,2021M05,Bread and cereals (COICOP 01.1.1),92.4
EU HICP,2021M05,Meat (COICOP 01.1.2),91.1
EU HICP,2021M06,All-items HICP (COICOP 00),103.1
EU HICP,2021M06,Food and non-alcoholic beverages (COICOP 01),92.5
EU HICP,2021M06,Food (COICOP 01.1),92.5
EU HICP,2021M06,Bread and cereals (COICOP 01.1.1),92.6
EU HICP,2021M06,Meat (COICOP 01.1.2),91.4
EU HICP,2021M07,All-items HICP (COICOP 00),103.5
EU HICP,2021M07,Food and non-alcoholic beverages (COICOP 01),93
EU HICP,2021M07,Food (COICOP 01.1),92.9
EU HICP,2021M07,Bread and cereals (COICOP 01.1.1),92.9
EU HICP,2021M07,Meat (COICOP 01.1.2),92.2
EU HICP,2021M08,All-items HICP (COICOP 00),104.2
EU HICP,2021M08,Food and non-alcoholic beverages (COICOP 01),92.7
EU HICP,2021M08,Food (COICOP 01.1),92.6
EU HICP,2021M08,Bread and cereals (COICOP 01.1.1),93
EU HICP,2021M08,Meat (COICOP 01.1.2),91.7
EU HICP,2021M09,All-items HICP (COICOP 00),104.6
EU HICP,2021M09,Food and non-alcoholic beverages (COICOP 01),92.4
EU HICP,2021M09,Food (COICOP 01.1),92.4
EU HICP,2021M09,Bread and cereals (COICOP 01.1.1),91.9
EU HICP,2021M09,Meat (COICOP 01.1.2),92.1
EU HICP,2021M10,All-items HICP (COICOP 00),105.4
EU HICP,2021M10,Food and non-alcoholic beverages (COICOP 01),92.8
EU HICP,2021M10,Food (COICOP 01.1),92.7
EU HICP,2021M10,Bread and cereals (COICOP 01.1.1),92.9
EU HICP,2021M10,Meat (COICOP 01.1.2),92.5
EU HICP,2021M11,All-items HICP (COICOP 00),106
EU HICP,2021M11,Food and non-alcoholic beverages (COICOP 01),92.9
EU HICP,2021M11,Food (COICOP 01.1),92.8
EU HICP,2021M11,Bread and cereals (COICOP 01.1.1),93.3
EU HICP,2021M11,Meat (COICOP 01.1.2),91.7
EU HICP,2021M12,All-items HICP (COICOP 00),106.5
EU HICP,2021M12,Food and non-alcoholic beverages (COICOP 01),93.3
EU HICP,2021M12,Food (COICOP 01.1),93.4
EU HICP,2021M12,Bread and cereals (COICOP 01.1.1),94.2
EU HICP,2021M12,Meat (COICOP 01.1.2),93
EU HICP,2022M01,All-items HICP (COICOP 00),106.1
EU HICP,2022M01,Food and non-alcoholic beverages (COICOP 01),93.3
EU HICP,2022M01,Food (COICOP 01.1),93.3
EU HICP,2022M01,Bread and cereals (COICOP 01.1.1),93.3
EU HICP,2022M01,Meat (COICOP 01.1.2),93.1
EU HICP,2022M02,All-items HICP (COICOP 00),107.1
EU HICP,2022M02,Food and non-alcoholic beverages (COICOP 01),94.2
EU HICP,2022M02,Food (COICOP 01.1),94.1
EU HICP,2022M02,Bread and cereals (COICOP 01.1.1),94.7
EU HICP,2022M02,Meat (COICOP 01.1.2),93.8
EU HICP,2022M03,All-items HICP (COICOP 00),109.3
EU HICP,2022M03,Food and non-alcoholic beverages (COICOP 01),95
EU HICP,2022M03,Food (COICOP 01.1),95
EU HICP,2022M03,Bread and cereals (COICOP 01.1.1),95.5
EU HICP,2022M03,Meat (COICOP 01.1.2),94.8
