Statistic,Month,Type of Animal,UNIT,VALUE
Number of Livestock Slaughtered,1977M12,Cattle without Calves,000 Head,136.7
Number of Livestock Slaughtered,1978M01,Sheep,000 Head,150.4
Number of Livestock Slaughtered,1978M01,Pigs,000 Head,166.4
Number of Livestock Slaughtered,1978M01,Bullocks,000 Head,
Number of Livestock Slaughtered,1978M01,Bulls,000 Head,
Number of Livestock Slaughtered,1978M01,Cows,000 Head,
Number of Livestock Slaughtered,1978M01,Heifers,000 Head,
Number of Livestock Slaughtered,1978M01,Calves,000 Head,0.3
Number of Livestock Slaughtered,1978M01,Lambs,000 Head,
Number of Livestock Slaughtered,1978M01,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1978M01,Cattle without Calves,000 Head,147.8
Number of Livestock Slaughtered,1978M02,Sheep,000 Head,155
Number of Livestock Slaughtered,1978M02,Pigs,000 Head,143.5
Number of Livestock Slaughtered,1978M02,Bullocks,000 Head,
Number of Livestock Slaughtered,1978M02,Bulls,000 Head,
Number of Livestock Slaughtered,1978M02,Cows,000 Head,
Number of Livestock Slaughtered,1978M02,Heifers,000 Head,
Number of Livestock Slaughtered,1978M02,Calves,000 Head,0.3
Number of Livestock Slaughtered,1978M02,Lambs,000 Head,
Number of Livestock Slaughtered,1978M02,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1978M02,Cattle without Calves,000 Head,97.2
Number of Livestock Slaughtered,1978M03,Sheep,000 Head,133.7
Number of Livestock Slaughtered,1978M03,Pigs,000 Head,165.7
Number of Livestock Slaughtered,1978M03,Bullocks,000 Head,
Number of Livestock Slaughtered,1978M03,Bulls,000 Head,
Number of Livestock Slaughtered,1978M03,Cows,000 Head,
Number of Livestock Slaughtered,1978M03,Heifers,000 Head,
Number of Livestock Slaughtered,1978M03,Calves,000 Head,0.3
Number of Livestock Slaughtered,1978M03,Lambs,000 Head,
Number of Livestock Slaughtered,1978M03,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1978M03,Cattle without Calves,000 Head,96.9
Number of Livestock Slaughtered,1978M04,Sheep,000 Head,124.1
Number of Livestock Slaughtered,1978M04,Pigs,000 Head,152.7
Number of Livestock Slaughtered,1978M04,Bullocks,000 Head,
Number of Livestock Slaughtered,1978M04,Bulls,000 Head,
Number of Livestock Slaughtered,1978M04,Cows,000 Head,
Number of Livestock Slaughtered,1978M04,Heifers,000 Head,
Number of Livestock Slaughtered,1978M04,Calves,000 Head,0.4
Number of Livestock Slaughtered,1978M04,Lambs,000 Head,
Number of Livestock Slaughtered,1978M04,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1978M04,Cattle without Calves,000 Head,77.9
Number of Livestock Slaughtered,1978M05,Sheep,000 Head,165.5
Number of Livestock Slaughtered,1978M05,Pigs,000 Head,171.7
Number of Livestock Slaughtered,1978M05,Bullocks,000 Head,
Number of Livestock Slaughtered,1978M05,Bulls,000 Head,
Number of Livestock Slaughtered,1978M05,Cows,000 Head,
Number of Livestock Slaughtered,1978M05,Heifers,000 Head,
Number of Livestock Slaughtered,1978M05,Calves,000 Head,0.3
Number of Livestock Slaughtered,1978M05,Lambs,000 Head,
Number of Livestock Slaughtered,1978M05,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1978M05,Cattle without Calves,000 Head,88.6
Number of Livestock Slaughtered,1978M06,Sheep,000 Head,175.7
Number of Livestock Slaughtered,1978M06,Pigs,000 Head,164.9
Number of Livestock Slaughtered,1978M06,Bullocks,000 Head,
Number of Livestock Slaughtered,1978M06,Bulls,000 Head,
Number of Livestock Slaughtered,1978M06,Cows,000 Head,
Number of Livestock Slaughtered,1978M06,Heifers,000 Head,
Number of Livestock Slaughtered,1978M06,Calves,000 Head,0.3
Number of Livestock Slaughtered,1978M06,Lambs,000 Head,
Number of Livestock Slaughtered,1978M06,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1978M06,Cattle without Calves,000 Head,114.6
Number of Livestock Slaughtered,1978M07,Sheep,000 Head,173.3
Number of Livestock Slaughtered,1978M07,Pigs,000 Head,167
Number of Livestock Slaughtered,1978M07,Bullocks,000 Head,
Number of Livestock Slaughtered,1978M07,Bulls,000 Head,
Number of Livestock Slaughtered,1978M07,Cows,000 Head,
Number of Livestock Slaughtered,1978M07,Heifers,000 Head,
Number of Livestock Slaughtered,1978M07,Calves,000 Head,0.4
Number of Livestock Slaughtered,1978M07,Lambs,000 Head,
Number of Livestock Slaughtered,1978M07,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1978M07,Cattle without Calves,000 Head,120.3
Number of Livestock Slaughtered,1978M08,Sheep,000 Head,167
Number of Livestock Slaughtered,1978M08,Pigs,000 Head,180.6
Number of Livestock Slaughtered,1978M08,Bullocks,000 Head,
