Statistic,Month,Type of Animal,UNIT,VALUE
Weight of Livestock Slaughtered,2007M10,Heifers,000 Tonnes,12.7
Weight of Livestock Slaughtered,2007M10,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2007M10,Lambs,000 Tonnes,6
Weight of Livestock Slaughtered,2007M10,Cattle (Including Calves),000 Tonnes,57.5
Weight of Livestock Slaughtered,2007M10,Cattle without Calves,000 Tonnes,57.5
Weight of Livestock Slaughtered,2007M11,Sheep,000 Tonnes,5.1
Weight of Livestock Slaughtered,2007M11,Pigs,000 Tonnes,18.2
Weight of Livestock Slaughtered,2007M11,Bullocks,000 Tonnes,31.2
Weight of Livestock Slaughtered,2007M11,Bulls,000 Tonnes,3.9
Weight of Livestock Slaughtered,2007M11,Cows,000 Tonnes,11
Weight of Livestock Slaughtered,2007M11,Heifers,000 Tonnes,13.5
Weight of Livestock Slaughtered,2007M11,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2007M11,Lambs,000 Tonnes,4.1
Weight of Livestock Slaughtered,2007M11,Cattle (Including Calves),000 Tonnes,59.6
Weight of Livestock Slaughtered,2007M11,Cattle without Calves,000 Tonnes,59.6
Weight of Livestock Slaughtered,2007M12,Sheep,000 Tonnes,4.6
Weight of Livestock Slaughtered,2007M12,Pigs,000 Tonnes,14.1
Weight of Livestock Slaughtered,2007M12,Bullocks,000 Tonnes,16.3
Weight of Livestock Slaughtered,2007M12,Bulls,000 Tonnes,3.9
Weight of Livestock Slaughtered,2007M12,Cows,000 Tonnes,7
Weight of Livestock Slaughtered,2007M12,Heifers,000 Tonnes,11
Weight of Livestock Slaughtered,2007M12,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2007M12,Lambs,000 Tonnes,4
Weight of Livestock Slaughtered,2007M12,Cattle (Including Calves),000 Tonnes,38.1
Weight of Livestock Slaughtered,2007M12,Cattle without Calves,000 Tonnes,38.1
Weight of Livestock Slaughtered,2008M01,Sheep,000 Tonnes,4.3
Weight of Livestock Slaughtered,2008M01,Pigs,000 Tonnes,19
Weight of Livestock Slaughtered,2008M01,Bullocks,000 Tonnes,18.4
Weight of Livestock Slaughtered,2008M01,Bulls,000 Tonnes,6.9
Weight of Livestock Slaughtered,2008M01,Cows,000 Tonnes,6.8
Weight of Livestock Slaughtered,2008M01,Heifers,000 Tonnes,13.2
Weight of Livestock Slaughtered,2008M01,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2008M01,Lambs,000 Tonnes,3.5
Weight of Livestock Slaughtered,2008M01,Cattle (Including Calves),000 Tonnes,45.3
Weight of Livestock Slaughtered,2008M01,Cattle without Calves,000 Tonnes,45.3
Weight of Livestock Slaughtered,2008M02,Sheep,000 Tonnes,3.5
Weight of Livestock Slaughtered,2008M02,Pigs,000 Tonnes,18.1
Weight of Livestock Slaughtered,2008M02,Bullocks,000 Tonnes,18.7
Weight of Livestock Slaughtered,2008M02,Bulls,000 Tonnes,5.5
Weight of Livestock Slaughtered,2008M02,Cows,000 Tonnes,6.6
Weight of Livestock Slaughtered,2008M02,Heifers,000 Tonnes,13.1
Weight of Livestock Slaughtered,2008M02,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2008M02,Lambs,000 Tonnes,2.9
Weight of Livestock Slaughtered,2008M02,Cattle (Including Calves),000 Tonnes,44
Weight of Livestock Slaughtered,2008M02,Cattle without Calves,000 Tonnes,44
Weight of Livestock Slaughtered,2008M03,Sheep,000 Tonnes,3.8
Weight of Livestock Slaughtered,2008M03,Pigs,000 Tonnes,16.3
Weight of Livestock Slaughtered,2008M03,Bullocks,000 Tonnes,18.2
Weight of Livestock Slaughtered,2008M03,Bulls,000 Tonnes,4.7
Weight of Livestock Slaughtered,2008M03,Cows,000 Tonnes,5.9
Weight of Livestock Slaughtered,2008M03,Heifers,000 Tonnes,11.6
Weight of Livestock Slaughtered,2008M03,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2008M03,Lambs,000 Tonnes,3.2
Weight of Livestock Slaughtered,2008M03,Cattle (Including Calves),000 Tonnes,40.3
Weight of Livestock Slaughtered,2008M03,Cattle without Calves,000 Tonnes,40.3
Weight of Livestock Slaughtered,2008M04,Sheep,000 Tonnes,4.3
Weight of Livestock Slaughtered,2008M04,Pigs,000 Tonnes,17.8
Weight of Livestock Slaughtered,2008M04,Bullocks,000 Tonnes,21.1
Weight of Livestock Slaughtered,2008M04,Bulls,000 Tonnes,4.9
Weight of Livestock Slaughtered,2008M04,Cows,000 Tonnes,7.2
Weight of Livestock Slaughtered,2008M04,Heifers,000 Tonnes,12
Weight of Livestock Slaughtered,2008M04,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2008M04,Lambs,000 Tonnes,3.5
Weight of Livestock Slaughtered,2008M04,Cattle (Including Calves),000 Tonnes,45.2
Weight of Livestock Slaughtered,2008M04,Cattle without Calves,000 Tonnes,45.2
Weight of Livestock Slaughtered,2008M05,Sheep,000 Tonnes,4.9
Weight of Livestock Slaughtered,2008M05,Pigs,000 Tonnes,16.7
Weight of Livestock Slaughtered,2008M05,Bullocks,000 Tonnes,17.9
Weight of Livestock Slaughtered,2008M05,Bulls,000 Tonnes,5.2
Weight of Livestock Slaughtered,2008M05,Cows,000 Tonnes,7.6
Weight of Livestock Slaughtered,2008M05,Heifers,000 Tonnes,10.6
Weight of Livestock Slaughtered,2008M05,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2008M05,Lambs,000 Tonnes,4.1
Weight of Livestock Slaughtered,2008M05,Cattle (Including Calves),000 Tonnes,41.3
Weight of Livestock Slaughtered,2008M05,Cattle without Calves,000 Tonnes,41.3
Weight of Livestock Slaughtered,2008M06,Sheep,000 Tonnes,5
Weight of Livestock Slaughtered,2008M06,Pigs,000 Tonnes,16
Weight of Livestock Slaughtered,2008M06,Bullocks,000 Tonnes,16
Weight of Livestock Slaughtered,2008M06,Bulls,000 Tonnes,4.6
Weight of Livestock Slaughtered,2008M06,Cows,000 Tonnes,10.1
Weight of Livestock Slaughtered,2008M06,Heifers,000 Tonnes,10.3
Weight of Livestock Slaughtered,2008M06,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2008M06,Lambs,000 Tonnes,4.3
Weight of Livestock Slaughtered,2008M06,Cattle (Including Calves),000 Tonnes,40.9
Weight of Livestock Slaughtered,2008M06,Cattle without Calves,000 Tonnes,40.9
Weight of Livestock Slaughtered,2008M07,Sheep,000 Tonnes,5.5
Weight of Livestock Slaughtered,2008M07,Pigs,000 Tonnes,17.4
Weight of Livestock Slaughtered,2008M07,Bullocks,000 Tonnes,19.8
Weight of Livestock Slaughtered,2008M07,Bulls,000 Tonnes,3.4
Weight of Livestock Slaughtered,2008M07,Cows,000 Tonnes,11.3
Weight of Livestock Slaughtered,2008M07,Heifers,000 Tonnes,10.5
Weight of Livestock Slaughtered,2008M07,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2008M07,Lambs,000 Tonnes,4.5
Weight of Livestock Slaughtered,2008M07,Cattle (Including Calves),000 Tonnes,45
Weight of Livestock Slaughtered,2008M07,Cattle without Calves,000 Tonnes,45
Weight of Livestock Slaughtered,2008M08,Sheep,000 Tonnes,5.5
Weight of Livestock Slaughtered,2008M08,Pigs,000 Tonnes,15.6
Weight of Livestock Slaughtered,2008M08,Bullocks,000 Tonnes,24
Weight of Livestock Slaughtered,2008M08,Bulls,000 Tonnes,2.9
Weight of Livestock Slaughtered,2008M08,Cows,000 Tonnes,8.5
Weight of Livestock Slaughtered,2008M08,Heifers,000 Tonnes,10
Weight of Livestock Slaughtered,2008M08,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2008M08,Lambs,000 Tonnes,4.4
Weight of Livestock Slaughtered,2008M08,Cattle (Including Calves),000 Tonnes,45.4
Weight of Livestock Slaughtered,2008M08,Cattle without Calves,000 Tonnes,45.3
Weight of Livestock Slaughtered,2008M09,Sheep,000 Tonnes,6.1
Weight of Livestock Slaughtered,2008M09,Pigs,000 Tonnes,17
Weight of Livestock Slaughtered,2008M09,Bullocks,000 Tonnes,29.5
Weight of Livestock Slaughtered,2008M09,Bulls,000 Tonnes,2.9
Weight of Livestock Slaughtered,2008M09,Cows,000 Tonnes,9.4
Weight of Livestock Slaughtered,2008M09,Heifers,000 Tonnes,11.4
Weight of Livestock Slaughtered,2008M09,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2008M09,Lambs,000 Tonnes,4.9
Weight of Livestock Slaughtered,2008M09,Cattle (Including Calves),000 Tonnes,53.1
Weight of Livestock Slaughtered,2008M09,Cattle without Calves,000 Tonnes,53.1
Weight of Livestock Slaughtered,2008M10,Sheep,000 Tonnes,5.6
Weight of Livestock Slaughtered,2008M10,Pigs,000 Tonnes,17.3
Weight of Livestock Slaughtered,2008M10,Bullocks,000 Tonnes,30.6
Weight of Livestock Slaughtered,2008M10,Bulls,000 Tonnes,3
Weight of Livestock Slaughtered,2008M10,Cows,000 Tonnes,10.8
Weight of Livestock Slaughtered,2008M10,Heifers,000 Tonnes,11.9
Weight of Livestock Slaughtered,2008M10,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2008M10,Lambs,000 Tonnes,4.5
Weight of Livestock Slaughtered,2008M10,Cattle (Including Calves),000 Tonnes,56.4
Weight of Livestock Slaughtered,2008M10,Cattle without Calves,000 Tonnes,56.4
Weight of Livestock Slaughtered,2008M11,Sheep,000 Tonnes,4.8
Weight of Livestock Slaughtered,2008M11,Pigs,000 Tonnes,16.8
Weight of Livestock Slaughtered,2008M11,Bullocks,000 Tonnes,19.2
Weight of Livestock Slaughtered,2008M11,Bulls,000 Tonnes,3.8
Weight of Livestock Slaughtered,2008M11,Cows,000 Tonnes,8.7
Weight of Livestock Slaughtered,2008M11,Heifers,000 Tonnes,10.5
Weight of Livestock Slaughtered,2008M11,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2008M11,Lambs,000 Tonnes,4
Weight of Livestock Slaughtered,2008M11,Cattle (Including Calves),000 Tonnes,42.3
Weight of Livestock Slaughtered,2008M11,Cattle without Calves,000 Tonnes,42.3
Weight of Livestock Slaughtered,2008M12,Sheep,000 Tonnes,5.5
Weight of Livestock Slaughtered,2008M12,Pigs,000 Tonnes,14.4
Weight of Livestock Slaughtered,2008M12,Bullocks,000 Tonnes,15.2
Weight of Livestock Slaughtered,2008M12,Bulls,000 Tonnes,4.9
Weight of Livestock Slaughtered,2008M12,Cows,000 Tonnes,7.1
Weight of Livestock Slaughtered,2008M12,Heifers,000 Tonnes,11
Weight of Livestock Slaughtered,2008M12,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2008M12,Lambs,000 Tonnes,4.8
Weight of Livestock Slaughtered,2008M12,Cattle (Including Calves),000 Tonnes,38.1
Weight of Livestock Slaughtered,2008M12,Cattle without Calves,000 Tonnes,38.1
Weight of Livestock Slaughtered,2009M01,Sheep,000 Tonnes,4.2
Weight of Livestock Slaughtered,2009M01,Pigs,000 Tonnes,17.4
Weight of Livestock Slaughtered,2009M01,Bullocks,000 Tonnes,14
Weight of Livestock Slaughtered,2009M01,Bulls,000 Tonnes,5.3
Weight of Livestock Slaughtered,2009M01,Cows,000 Tonnes,6.4
Weight of Livestock Slaughtered,2009M01,Heifers,000 Tonnes,10.9
Weight of Livestock Slaughtered,2009M01,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2009M01,Lambs,000 Tonnes,3.6
Weight of Livestock Slaughtered,2009M01,Cattle (Including Calves),000 Tonnes,36.6
Weight of Livestock Slaughtered,2009M01,Cattle without Calves,000 Tonnes,36.6
Weight of Livestock Slaughtered,2009M02,Sheep,000 Tonnes,3.5
Weight of Livestock Slaughtered,2009M02,Pigs,000 Tonnes,15.3
Weight of Livestock Slaughtered,2009M02,Bullocks,000 Tonnes,16.2
Weight of Livestock Slaughtered,2009M02,Bulls,000 Tonnes,5.7
Weight of Livestock Slaughtered,2009M02,Cows,000 Tonnes,6.8
Weight of Livestock Slaughtered,2009M02,Heifers,000 Tonnes,11.5
Weight of Livestock Slaughtered,2009M02,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2009M02,Lambs,000 Tonnes,2.9
Weight of Livestock Slaughtered,2009M02,Cattle (Including Calves),000 Tonnes,40.3
Weight of Livestock Slaughtered,2009M02,Cattle without Calves,000 Tonnes,40.2
Weight of Livestock Slaughtered,2009M03,Sheep,000 Tonnes,3.5
Weight of Livestock Slaughtered,2009M03,Pigs,000 Tonnes,16.8
Weight of Livestock Slaughtered,2009M03,Bullocks,000 Tonnes,16.6
Weight of Livestock Slaughtered,2009M03,Bulls,000 Tonnes,5.8
Weight of Livestock Slaughtered,2009M03,Cows,000 Tonnes,6.4
Weight of Livestock Slaughtered,2009M03,Heifers,000 Tonnes,11.8
Weight of Livestock Slaughtered,2009M03,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2009M03,Lambs,000 Tonnes,2.9
Weight of Livestock Slaughtered,2009M03,Cattle (Including Calves),000 Tonnes,40.6
Weight of Livestock Slaughtered,2009M03,Cattle without Calves,000 Tonnes,40.6
Weight of Livestock Slaughtered,2009M04,Sheep,000 Tonnes,4
Weight of Livestock Slaughtered,2009M04,Pigs,000 Tonnes,16.4
Weight of Livestock Slaughtered,2009M04,Bullocks,000 Tonnes,18.2
Weight of Livestock Slaughtered,2009M04,Bulls,000 Tonnes,5.3
Weight of Livestock Slaughtered,2009M04,Cows,000 Tonnes,6.4
Weight of Livestock Slaughtered,2009M04,Heifers,000 Tonnes,11.3
Weight of Livestock Slaughtered,2009M04,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2009M04,Lambs,000 Tonnes,3.2
Weight of Livestock Slaughtered,2009M04,Cattle (Including Calves),000 Tonnes,41.2
Weight of Livestock Slaughtered,2009M04,Cattle without Calves,000 Tonnes,41.2
Weight of Livestock Slaughtered,2009M05,Sheep,000 Tonnes,4.1
Weight of Livestock Slaughtered,2009M05,Pigs,000 Tonnes,14.9
Weight of Livestock Slaughtered,2009M05,Bullocks,000 Tonnes,15
Weight of Livestock Slaughtered,2009M05,Bulls,000 Tonnes,5.7
Weight of Livestock Slaughtered,2009M05,Cows,000 Tonnes,8.5
Weight of Livestock Slaughtered,2009M05,Heifers,000 Tonnes,10.5
Weight of Livestock Slaughtered,2009M05,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2009M05,Lambs,000 Tonnes,3.4
Weight of Livestock Slaughtered,2009M05,Cattle (Including Calves),000 Tonnes,39.6
Weight of Livestock Slaughtered,2009M05,Cattle without Calves,000 Tonnes,39.6
Weight of Livestock Slaughtered,2009M06,Sheep,000 Tonnes,4.9
Weight of Livestock Slaughtered,2009M06,Pigs,000 Tonnes,15.8
Weight of Livestock Slaughtered,2009M06,Bullocks,000 Tonnes,13.6
Weight of Livestock Slaughtered,2009M06,Bulls,000 Tonnes,5.4
Weight of Livestock Slaughtered,2009M06,Cows,000 Tonnes,9.7
Weight of Livestock Slaughtered,2009M06,Heifers,000 Tonnes,9.7
Weight of Livestock Slaughtered,2009M06,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2009M06,Lambs,000 Tonnes,4
Weight of Livestock Slaughtered,2009M06,Cattle (Including Calves),000 Tonnes,38.3
Weight of Livestock Slaughtered,2009M06,Cattle without Calves,000 Tonnes,38.3
Weight of Livestock Slaughtered,2009M07,Sheep,000 Tonnes,5.3
Weight of Livestock Slaughtered,2009M07,Pigs,000 Tonnes,16.7
Weight of Livestock Slaughtered,2009M07,Bullocks,000 Tonnes,18.1
Weight of Livestock Slaughtered,2009M07,Bulls,000 Tonnes,5.1
Weight of Livestock Slaughtered,2009M07,Cows,000 Tonnes,9.7
Weight of Livestock Slaughtered,2009M07,Heifers,000 Tonnes,11.4
Weight of Livestock Slaughtered,2009M07,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2009M07,Lambs,000 Tonnes,4.2
Weight of Livestock Slaughtered,2009M07,Cattle (Including Calves),000 Tonnes,44.4
Weight of Livestock Slaughtered,2009M07,Cattle without Calves,000 Tonnes,44.4
Weight of Livestock Slaughtered,2009M08,Sheep,000 Tonnes,5.7
Weight of Livestock Slaughtered,2009M08,Pigs,000 Tonnes,15.4
Weight of Livestock Slaughtered,2009M08,Bullocks,000 Tonnes,18.9
Weight of Livestock Slaughtered,2009M08,Bulls,000 Tonnes,3.6
Weight of Livestock Slaughtered,2009M08,Cows,000 Tonnes,9
Weight of Livestock Slaughtered,2009M08,Heifers,000 Tonnes,10
Weight of Livestock Slaughtered,2009M08,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2009M08,Lambs,000 Tonnes,4.5
Weight of Livestock Slaughtered,2009M08,Cattle (Including Calves),000 Tonnes,41.6
Weight of Livestock Slaughtered,2009M08,Cattle without Calves,000 Tonnes,41.5
Weight of Livestock Slaughtered,2009M09,Sheep,000 Tonnes,5.6
Weight of Livestock Slaughtered,2009M09,Pigs,000 Tonnes,16.6
Weight of Livestock Slaughtered,2009M09,Bullocks,000 Tonnes,26.1
Weight of Livestock Slaughtered,2009M09,Bulls,000 Tonnes,3.2
Weight of Livestock Slaughtered,2009M09,Cows,000 Tonnes,9.8
Weight of Livestock Slaughtered,2009M09,Heifers,000 Tonnes,11.4
Weight of Livestock Slaughtered,2009M09,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2009M09,Lambs,000 Tonnes,4.4
Weight of Livestock Slaughtered,2009M09,Cattle (Including Calves),000 Tonnes,50.5
Weight of Livestock Slaughtered,2009M09,Cattle without Calves,000 Tonnes,50.4
Weight of Livestock Slaughtered,2009M10,Sheep,000 Tonnes,5.1
Weight of Livestock Slaughtered,2009M10,Pigs,000 Tonnes,16.4
Weight of Livestock Slaughtered,2009M10,Bullocks,000 Tonnes,24.6
Weight of Livestock Slaughtered,2009M10,Bulls,000 Tonnes,3.2
Weight of Livestock Slaughtered,2009M10,Cows,000 Tonnes,9.2
Weight of Livestock Slaughtered,2009M10,Heifers,000 Tonnes,11.2
Weight of Livestock Slaughtered,2009M10,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2009M10,Lambs,000 Tonnes,4.2
Weight of Livestock Slaughtered,2009M10,Cattle (Including Calves),000 Tonnes,48.4
Weight of Livestock Slaughtered,2009M10,Cattle without Calves,000 Tonnes,48.3
Weight of Livestock Slaughtered,2009M11,Sheep,000 Tonnes,4.7
Weight of Livestock Slaughtered,2009M11,Pigs,000 Tonnes,17.2
Weight of Livestock Slaughtered,2009M11,Bullocks,000 Tonnes,25.1
Weight of Livestock Slaughtered,2009M11,Bulls,000 Tonnes,3.5
Weight of Livestock Slaughtered,2009M11,Cows,000 Tonnes,9.6
Weight of Livestock Slaughtered,2009M11,Heifers,000 Tonnes,12.4
Weight of Livestock Slaughtered,2009M11,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2009M11,Lambs,000 Tonnes,4
Weight of Livestock Slaughtered,2009M11,Cattle (Including Calves),000 Tonnes,50.6
Weight of Livestock Slaughtered,2009M11,Cattle without Calves,000 Tonnes,50.5
Weight of Livestock Slaughtered,2009M12,Sheep,000 Tonnes,4.5
Weight of Livestock Slaughtered,2009M12,Pigs,000 Tonnes,16.7
Weight of Livestock Slaughtered,2009M12,Bullocks,000 Tonnes,17.5
Weight of Livestock Slaughtered,2009M12,Bulls,000 Tonnes,4.9
Weight of Livestock Slaughtered,2009M12,Cows,000 Tonnes,7.5
Weight of Livestock Slaughtered,2009M12,Heifers,000 Tonnes,12.4
Weight of Livestock Slaughtered,2009M12,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2009M12,Lambs,000 Tonnes,3.9
Weight of Livestock Slaughtered,2009M12,Cattle (Including Calves),000 Tonnes,42.4
Weight of Livestock Slaughtered,2009M12,Cattle without Calves,000 Tonnes,42.4
Weight of Livestock Slaughtered,2010M01,Sheep,000 Tonnes,3.2
Weight of Livestock Slaughtered,2010M01,Pigs,000 Tonnes,16.5
Weight of Livestock Slaughtered,2010M01,Bullocks,000 Tonnes,15.3
Weight of Livestock Slaughtered,2010M01,Bulls,000 Tonnes,6.4
Weight of Livestock Slaughtered,2010M01,Cows,000 Tonnes,7.2
Weight of Livestock Slaughtered,2010M01,Heifers,000 Tonnes,12.2
Weight of Livestock Slaughtered,2010M01,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2010M01,Lambs,000 Tonnes,2.8
Weight of Livestock Slaughtered,2010M01,Cattle (Including Calves),000 Tonnes,41.2
Weight of Livestock Slaughtered,2010M01,Cattle without Calves,000 Tonnes,41.1
Weight of Livestock Slaughtered,2010M02,Sheep,000 Tonnes,2.9
Weight of Livestock Slaughtered,2010M02,Pigs,000 Tonnes,16.5
Weight of Livestock Slaughtered,2010M02,Bullocks,000 Tonnes,17.3
Weight of Livestock Slaughtered,2010M02,Bulls,000 Tonnes,7
Weight of Livestock Slaughtered,2010M02,Cows,000 Tonnes,8.5
Weight of Livestock Slaughtered,2010M02,Heifers,000 Tonnes,13.1
Weight of Livestock Slaughtered,2010M02,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2010M02,Lambs,000 Tonnes,2.6
Weight of Livestock Slaughtered,2010M02,Cattle (Including Calves),000 Tonnes,45.9
Weight of Livestock Slaughtered,2010M02,Cattle without Calves,000 Tonnes,45.8
Weight of Livestock Slaughtered,2010M03,Sheep,000 Tonnes,3.5
Weight of Livestock Slaughtered,2010M03,Pigs,000 Tonnes,18.9
Weight of Livestock Slaughtered,2010M03,Bullocks,000 Tonnes,20.4
Weight of Livestock Slaughtered,2010M03,Bulls,000 Tonnes,7.7
Weight of Livestock Slaughtered,2010M03,Cows,000 Tonnes,8.9
Weight of Livestock Slaughtered,2010M03,Heifers,000 Tonnes,14.9
Weight of Livestock Slaughtered,2010M03,Calves,000 Tonnes,0.2
Weight of Livestock Slaughtered,2010M03,Lambs,000 Tonnes,3
Weight of Livestock Slaughtered,2010M03,Cattle (Including Calves),000 Tonnes,52
Weight of Livestock Slaughtered,2010M03,Cattle without Calves,000 Tonnes,51.8
Weight of Livestock Slaughtered,2010M04,Sheep,000 Tonnes,3.1
Weight of Livestock Slaughtered,2010M04,Pigs,000 Tonnes,18.1
Weight of Livestock Slaughtered,2010M04,Bullocks,000 Tonnes,18.7
Weight of Livestock Slaughtered,2010M04,Bulls,000 Tonnes,6
Weight of Livestock Slaughtered,2010M04,Cows,000 Tonnes,7.6
Weight of Livestock Slaughtered,2010M04,Heifers,000 Tonnes,12.5
Weight of Livestock Slaughtered,2010M04,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2010M04,Lambs,000 Tonnes,2.5
Weight of Livestock Slaughtered,2010M04,Cattle (Including Calves),000 Tonnes,45
Weight of Livestock Slaughtered,2010M04,Cattle without Calves,000 Tonnes,44.9
Weight of Livestock Slaughtered,2010M05,Sheep,000 Tonnes,3.3
Weight of Livestock Slaughtered,2010M05,Pigs,000 Tonnes,17.3
Weight of Livestock Slaughtered,2010M05,Bullocks,000 Tonnes,16.9
Weight of Livestock Slaughtered,2010M05,Bulls,000 Tonnes,6.4
Weight of Livestock Slaughtered,2010M05,Cows,000 Tonnes,8.1
Weight of Livestock Slaughtered,2010M05,Heifers,000 Tonnes,12.3
Weight of Livestock Slaughtered,2010M05,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2010M05,Lambs,000 Tonnes,2.7
Weight of Livestock Slaughtered,2010M05,Cattle (Including Calves),000 Tonnes,43.8
Weight of Livestock Slaughtered,2010M05,Cattle without Calves,000 Tonnes,43.7
Weight of Livestock Slaughtered,2010M06,Sheep,000 Tonnes,4.1
Weight of Livestock Slaughtered,2010M06,Pigs,000 Tonnes,17.4
Weight of Livestock Slaughtered,2010M06,Bullocks,000 Tonnes,15.2
Weight of Livestock Slaughtered,2010M06,Bulls,000 Tonnes,6.8
Weight of Livestock Slaughtered,2010M06,Cows,000 Tonnes,11.6
Weight of Livestock Slaughtered,2010M06,Heifers,000 Tonnes,11.8
Weight of Livestock Slaughtered,2010M06,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2010M06,Lambs,000 Tonnes,3.5
Weight of Livestock Slaughtered,2010M06,Cattle (Including Calves),000 Tonnes,45.4
Weight of Livestock Slaughtered,2010M06,Cattle without Calves,000 Tonnes,45.4
Weight of Livestock Slaughtered,2010M07,Sheep,000 Tonnes,4.7
Weight of Livestock Slaughtered,2010M07,Pigs,000 Tonnes,17.9
Weight of Livestock Slaughtered,2010M07,Bullocks,000 Tonnes,17.3
Weight of Livestock Slaughtered,2010M07,Bulls,000 Tonnes,5.6
Weight of Livestock Slaughtered,2010M07,Cows,000 Tonnes,9.5
Weight of Livestock Slaughtered,2010M07,Heifers,000 Tonnes,11.1
Weight of Livestock Slaughtered,2010M07,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,2010M07,Lambs,000 Tonnes,3.9
Weight of Livestock Slaughtered,2010M07,Cattle (Including Calves),000 Tonnes,43.5
Weight of Livestock Slaughtered,2010M07,Cattle without Calves,000 Tonnes,43.4
Weight of Livestock Slaughtered,2010M08,Sheep,000 Tonnes,5.1
Weight of Livestock Slaughtered,2010M08,Pigs,000 Tonnes,18
Weight of Livestock Slaughtered,2010M08,Bullocks,000 Tonnes,20.7
Weight of Livestock Slaughtered,2010M08,Bulls,000 Tonnes,4.4
Weight of Livestock Slaughtered,2010M08,Cows,000 Tonnes,8.7
Weight of Livestock Slaughtered,2010M08,Heifers,000 Tonnes,10.8
Weight of Livestock Slaughtered,2010M08,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2010M08,Lambs,000 Tonnes,4.3
Weight of Livestock Slaughtered,2010M08,Cattle (Including Calves),000 Tonnes,44.6
Weight of Livestock Slaughtered,2010M08,Cattle without Calves,000 Tonnes,44.6
Weight of Livestock Slaughtered,2010M09,Sheep,000 Tonnes,5
Weight of Livestock Slaughtered,2010M09,Pigs,000 Tonnes,18.9
Weight of Livestock Slaughtered,2010M09,Bullocks,000 Tonnes,27.4
Weight of Livestock Slaughtered,2010M09,Bulls,000 Tonnes,4.3
Weight of Livestock Slaughtered,2010M09,Cows,000 Tonnes,8.5
Weight of Livestock Slaughtered,2010M09,Heifers,000 Tonnes,12.4
Weight of Livestock Slaughtered,2010M09,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2010M09,Lambs,000 Tonnes,4.1
Weight of Livestock Slaughtered,2010M09,Cattle (Including Calves),000 Tonnes,52.7
Weight of Livestock Slaughtered,2010M09,Cattle without Calves,000 Tonnes,52.6
Weight of Livestock Slaughtered,2010M10,Sheep,000 Tonnes,4.7
Weight of Livestock Slaughtered,2010M10,Pigs,000 Tonnes,17.2
Weight of Livestock Slaughtered,2010M10,Bullocks,000 Tonnes,25.6
Weight of Livestock Slaughtered,2010M10,Bulls,000 Tonnes,3.9
Weight of Livestock Slaughtered,2010M10,Cows,000 Tonnes,8.1
Weight of Livestock Slaughtered,2010M10,Heifers,000 Tonnes,11.2
Weight of Livestock Slaughtered,2010M10,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,2010M10,Lambs,000 Tonnes,4
Weight of Livestock Slaughtered,2010M10,Cattle (Including Calves),000 Tonnes,48.8
Weight of Livestock Slaughtered,2010M10,Cattle without Calves,000 Tonnes,48.7
Weight of Livestock Slaughtered,2010M11,Sheep,000 Tonnes,4.7
Weight of Livestock Slaughtered,2010M11,Pigs,000 Tonnes,20
Weight of Livestock Slaughtered,2010M11,Bullocks,000 Tonnes,26.1
Weight of Livestock Slaughtered,2010M11,Bulls,000 Tonnes,5
Weight of Livestock Slaughtered,2010M11,Cows,000 Tonnes,10.1
Weight of Livestock Slaughtered,2010M11,Heifers,000 Tonnes,13.2
