TIME,GEO,MEAT,MEATITEM,UNIT,Value,Flag and Footnotes
1992M08,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand heads (animals),147.11,
1992M08,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,:,
1992M08,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M08,Ireland,Bovine meat,Slaughterings,Thousand tonnes,40.4,
1992M08,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),121.9,
1992M08,Ireland,Pigmeat,Slaughterings,Thousand tonnes,16.3,
1992M08,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),240.9,
1992M08,Ireland,Sheepmeat,Slaughterings,Thousand tonnes,9.6,
1992M08,Ireland,Sheepmeat,Slaughterings,Thousand heads (animals),469.6,
1992M08,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,
1992M08,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M09,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,158.59,
1992M09,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),532.25,
1992M09,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,304.17,
1992M09,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),"3,373.97",
1992M09,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand tonnes,3.61,
1992M09,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand heads (animals),185.07,
1992M09,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,:,
1992M09,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M09,Ireland,Bovine meat,Slaughterings,Thousand tonnes,72.1,
1992M09,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),212.3,
1992M09,Ireland,Pigmeat,Slaughterings,Thousand tonnes,18.2,
1992M09,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),267.5,
1992M09,Ireland,Sheepmeat,Slaughterings,Thousand tonnes,9.3,
1992M09,Ireland,Sheepmeat,Slaughterings,Thousand heads (animals),454.5,
1992M09,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,
1992M09,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M10,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,162.69,
1992M10,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),546.8,
1992M10,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,316.7,
1992M10,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),"3,480.89",
1992M10,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand tonnes,4.46,
1992M10,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand heads (animals),226.85,
1992M10,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,:,
1992M10,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M10,Ireland,Bovine meat,Slaughterings,Thousand tonnes,90,
1992M10,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),260.7,
1992M10,Ireland,Pigmeat,Slaughterings,Thousand tonnes,17.2,
1992M10,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),251.5,
1992M10,Ireland,Sheepmeat,Slaughterings,Thousand tonnes,7.6,
1992M10,Ireland,Sheepmeat,Slaughterings,Thousand heads (animals),372.6,
1992M10,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,
1992M10,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M11,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,152.34,
1992M11,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),513.74,
1992M11,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,329.75,
1992M11,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),"3,597.83",
1992M11,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand tonnes,5.16,
1992M11,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand heads (animals),260.12,
1992M11,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,:,
1992M11,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M11,Ireland,Bovine meat,Slaughterings,Thousand tonnes,67.3,
1992M11,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),201,
1992M11,Ireland,Pigmeat,Slaughterings,Thousand tonnes,18.4,
1992M11,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),267.5,
