Statistic,Month,Commodity Group,UNIT,VALUE
EU HICP,2007M05,Meat (COICOP 01.1.2),Base 2015=100,109.2
EU HICP,2007M06,Meat (COICOP 01.1.2),Base 2015=100,109.4
EU HICP,2007M07,Meat (COICOP 01.1.2),Base 2015=100,109.6
EU HICP,2007M08,Meat (COICOP 01.1.2),Base 2015=100,108.7
EU HICP,2007M09,Meat (COICOP 01.1.2),Base 2015=100,109.2
EU HICP,2007M10,Meat (COICOP 01.1.2),Base 2015=100,109.6
EU HICP,2007M11,Meat (COICOP 01.1.2),Base 2015=100,109.4
EU HICP,2007M12,Meat (COICOP 01.1.2),Base 2015=100,108.7
EU HICP,2008M01,Meat (COICOP 01.1.2),Base 2015=100,110.2
EU HICP,2008M02,Meat (COICOP 01.1.2),Base 2015=100,111.9
EU HICP,2008M03,Meat (COICOP 01.1.2),Base 2015=100,113.6
EU HICP,2008M04,Meat (COICOP 01.1.2),Base 2015=100,114.6
EU HICP,2008M05,Meat (COICOP 01.1.2),Base 2015=100,115.5
EU HICP,2008M06,Meat (COICOP 01.1.2),Base 2015=100,114.5
EU HICP,2008M07,Meat (COICOP 01.1.2),Base 2015=100,115.3
EU HICP,2008M08,Meat (COICOP 01.1.2),Base 2015=100,114.1
EU HICP,2008M09,Meat (COICOP 01.1.2),Base 2015=100,114.3
EU HICP,2008M10,Meat (COICOP 01.1.2),Base 2015=100,114.8
EU HICP,2008M11,Meat (COICOP 01.1.2),Base 2015=100,114.1
EU HICP,2008M12,Meat (COICOP 01.1.2),Base 2015=100,114
EU HICP,2009M01,Meat (COICOP 01.1.2),Base 2015=100,115.1
EU HICP,2009M02,Meat (COICOP 01.1.2),Base 2015=100,113.7
EU HICP,2009M03,Meat (COICOP 01.1.2),Base 2015=100,113.2
EU HICP,2009M04,Meat (COICOP 01.1.2),Base 2015=100,111.7
EU HICP,2009M05,Meat (COICOP 01.1.2),Base 2015=100,111.3
